price,log_price,model_year,age,mileage,log_mileage,brand,brand_group,fuel_type,transmission,accident,clean_title,row_id,z_age,z_log_mileage,y,brand_id
34000,10.4341158035983,2023,1,3800,8.24301946898925,Hyundai,Hyundai,Gasoline,Manual,None reported,Yes,88,-1.2427695387041209,-2.1428309520028095,0.18159496232263095,14
31995,10.37333491957356,2022,2,36602,10.507885483243443,Kia,Kia,Hybrid,Automatic,None reported,Yes,89,-1.0776727611502492,-0.13622170522281857,0.12081407829789192,18
29900,10.305613759378778,2018,6,33000,10.404293143019792,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,Accident/damage reported,Yes,91,-0.417285650934762,-0.22800168093886852,0.053092918103109454,24
24950,10.124629101179664,2016,8,76009,11.238620189560086,BMW,BMW,Gasoline,Automatic,None reported,Yes,92,-0.08709209582701846,0.5111892274370894,-0.12789174009600401,4
39366,10.580657778572933,2020,4,31349,10.352969546061066,Jeep,Jeep,Gasoline,Automatic,None reported,Unknown,93,-0.7474792060425056,-0.27347298192852193,0.32813693729726445,17
32900,10.401227936753463,2015,9,48000,10.778977123006351,Lexus,Lexus,Gasoline,Automatic,None reported,Yes,94,0.07800468172685332,0.1039580615490046,0.14870709547779448,20
8900,9.093806555720231,2005,19,91420,11.423230490351397,BMW,BMW,Gasoline,Automatic,None reported,Yes,95,1.7289724572655711,0.6747488968776961,-1.1587142855554369,4
4995,8.516192691082654,2003,21,124756,11.734123124263983,Toyota,Toyota,Gasoline,Manual,Accident/damage reported,Yes,96,2.0591660123733146,0.9501912541909199,-1.736328150193014,33
7900,8.974618038455112,2012,12,116226,11.66330045441245,GMC,GMC,Gasoline,Automatic,None reported,Yes,98,0.5732950143884686,0.8874443087595681,-1.277902802820556,12
75950,11.237830508023919,2020,4,37869,10.54191452089584,Lexus,Lexus,Gasoline,Automatic,None reported,Unknown,99,-0.7474792060425056,-0.10607291002584988,0.9853096667482504,20
17995,9.79784922051313,2013,11,87001,11.373686385878237,Lexus,Lexus,Hybrid,CVT,None reported,Yes,101,0.4081982368345969,0.6308541774843224,-0.45467162076253764,20
55655,10.926927199927325,2022,2,4451,8.401108712395436,Cadillac,Cadillac,Gasoline,Automatic,Accident/damage reported,Yes,102,-1.0776727611502492,-2.0027682129097135,0.6744063586516571,6
39998,10.596584731846031,2020,4,27158,10.20946376214355,BMW,BMW,Gasoline,Automatic,None reported,Unknown,103,-0.7474792060425056,-0.40061517540177427,0.3440638905703626,4
14500,9.581903928408666,2014,10,139804,11.848003873521394,Chevrolet,Chevrolet,Gasoline,Automatic,Accident/damage reported,Yes,104,0.2431014592807251,1.0510864784787919,-0.6706169128670023,7
47500,10.768484990022733,2022,2,27300,10.214678610538817,Jeep,Jeep,Gasoline,Automatic,None reported,Yes,105,-1.0776727611502492,-0.39599496257477174,0.5159641487470648,17
27000,10.203592144986466,2014,10,36812,10.513606322644657,BMW,BMW,Gasoline,Automatic,None reported,Yes,106,0.2431014592807251,-0.13115319822524296,-0.04892869628920238,4
18000,9.798127036878302,2016,8,144000,11.87757552297847,Land,Land,Gasoline,Automatic,Accident/damage reported,Yes,107,-0.08709209582701846,1.0772861498366777,-0.4543938043973661,19
28900,10.271596874100524,2019,5,44500,10.703266939811954,Cadillac,Cadillac,Gasoline,Automatic,None reported,Yes,108,-0.5823824284886338,0.03688091318033546,0.019076032824855815,6
73998,11.211793344794042,2021,3,10917,9.298168082341704,BMW,BMW,Gasoline,Automatic,None reported,Unknown,109,-0.9125759835963774,-1.20799818443297,0.959272503518374,4
47350,10.765322098614224,2005,19,8332,9.027978814382207,Bentley,Bentley,Gasoline,Automatic,None reported,Yes,110,1.7289724572655711,-1.447378474505791,0.5128012573385554,3
47698,10.772644747276225,2020,4,51247,10.84443187184894,Lincoln,Lincoln,Gasoline,Automatic,None reported,Unknown,111,-0.7474792060425056,0.1619491760107802,0.5201239060005562,21
36500,10.505067539570582,2016,8,69000,11.141876276228,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,None reported,Yes,112,-0.08709209582701846,0.42547677034687614,0.25254669829491405,24
32662,10.393967601636689,2021,3,147834,11.90385206595727,RAM,RAM,Gasoline,Automatic,None reported,Yes,113,-0.9125759835963774,1.1005664471182084,0.14144676036102055,30
6600,8.794824928014517,2013,11,105000,11.561725152903833,Ford,Ford,E85 Flex Fuel,Automatic,Accident/damage reported,Yes,114,0.4081982368345969,0.7974513740919627,-1.4576959132611513,10
9995,9.209840246934501,2011,13,92203,11.431758792551568,Audi,Audi,Gasoline,Automatic,None reported,Yes,115,0.7383917919423404,0.6823047390098551,-1.0426805943411672,2
69500,11.149082031552883,2010,14,15600,9.65509029374725,Nissan,Nissan,Gasoline,Automatic,None reported,Yes,116,0.9034885694962123,-0.8917748823568101,0.8965611902772146,27
30775,10.334457951052654,2018,6,104700,11.558863947911393,Land,Land,Gasoline,Automatic,Accident/damage reported,Unknown,117,-0.417285650934762,0.7949164248461222,0.08193710977698565,19
