price,log_price,model_year,age,mileage,log_mileage,brand,brand_group,fuel_type,transmission,accident,clean_title,row_id
47999,10.778935456339678,2023,1,633,6.452048954437226,Volkswagen,Volkswagen,Gasoline,Manual,None reported,Yes,81
15900,9.674074388208323,2015,9,66000,11.097425172408931,Hyundai,Hyundai,Hybrid,Automatic,Accident/damage reported,Yes,82
45000,10.714417768752456,2014,10,59715,10.99735527017348,Audi,Audi,Gasoline,Automatic,Accident/damage reported,Yes,83
18500,9.825526011066415,2012,12,85252,11.353378585142424,BMW,BMW,Gasoline,Automatic,None reported,Yes,84
80000,11.289781913656018,2020,4,17900,9.792611856190192,Mercedes-Benz,Mercedes-Benz,Hybrid,Automatic,Accident/damage reported,Yes,85
55000,10.915088464214607,2016,8,25500,10.146472946063877,BMW,BMW,Gasoline,Automatic,None reported,Yes,86
2300,7.7406644019172415,2004,20,210703,12.258209583950002,Subaru,Subaru,Gasoline,Manual,Unknown,Unknown,87
34000,10.4341158035983,2023,1,3800,8.24301946898925,Hyundai,Hyundai,Gasoline,Manual,None reported,Yes,88
31995,10.37333491957356,2022,2,36602,10.507885483243443,Kia,Kia,Hybrid,Automatic,None reported,Yes,89
92000,11.429543856031177,2023,1,2800,7.937731775260109,Rivian,Other,Unknown/Other,Automatic,None reported,Yes,90
29900,10.305613759378778,2018,6,33000,10.404293143019792,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,Accident/damage reported,Yes,91
24950,10.124629101179664,2016,8,76009,11.238620189560086,BMW,BMW,Gasoline,Automatic,None reported,Yes,92
39366,10.580657778572933,2020,4,31349,10.352969546061066,Jeep,Jeep,Gasoline,Automatic,None reported,Unknown,93
32900,10.401227936753463,2015,9,48000,10.778977123006351,Lexus,Lexus,Gasoline,Automatic,None reported,Yes,94
8900,9.093806555720231,2005,19,91420,11.423230490351397,BMW,BMW,Gasoline,Automatic,None reported,Yes,95
4995,8.516192691082654,2003,21,124756,11.734123124263983,Toyota,Toyota,Gasoline,Manual,Accident/damage reported,Yes,96
104900,11.560762794384388,2023,1,2415,7.789868559054706,Cadillac,Cadillac,Gasoline,Automatic,None reported,Unknown,97
7900,8.974618038455112,2012,12,116226,11.66330045441245,GMC,GMC,Gasoline,Automatic,None reported,Yes,98
75950,11.237830508023919,2020,4,37869,10.54191452089584,Lexus,Lexus,Gasoline,Automatic,None reported,Unknown,99
86000,11.362102575235644,2019,5,41500,10.633472802314019,BMW,BMW,Plug-In Hybrid,Automatic,None reported,Yes,100
17995,9.79784922051313,2013,11,87001,11.373686385878237,Lexus,Lexus,Hybrid,CVT,None reported,Yes,101
55655,10.926927199927325,2022,2,4451,8.401108712395436,Cadillac,Cadillac,Gasoline,Automatic,Accident/damage reported,Yes,102
39998,10.596584731846031,2020,4,27158,10.20946376214355,BMW,BMW,Gasoline,Automatic,None reported,Unknown,103
14500,9.581903928408666,2014,10,139804,11.848003873521394,Chevrolet,Chevrolet,Gasoline,Automatic,Accident/damage reported,Yes,104
47500,10.768484990022733,2022,2,27300,10.214678610538817,Jeep,Jeep,Gasoline,Automatic,None reported,Yes,105
27000,10.203592144986466,2014,10,36812,10.513606322644657,BMW,BMW,Gasoline,Automatic,None reported,Yes,106
18000,9.798127036878302,2016,8,144000,11.87757552297847,Land,Land,Gasoline,Automatic,Accident/damage reported,Yes,107
